timestamp,symbol,action,quantity,price,commission,cash,total_value
2024-02-26,688576.SH,BUY,1100,81.54,26.908199999999997,10279.091799999995,99973.0918
2024-03-19,688576.SH,SELL,1100,79.58,26.2614,97790.83039999999,97790.83039999999
2024-03-20,688576.SH,BUY,1100,81.03,26.7399,8631.090499999991,97764.09049999999
2024-03-25,688576.SH,SELL,1100,75.31,24.852299999999996,91447.23819999999,91447.23819999999
2024-04-24,688576.SH,BUY,1200,67.83,24.418799999999997,10026.819399999993,91422.8194
2024-04-25,688576.SH,SELL,1200,67.38,24.2568,90858.56259999999,90858.56259999999
2024-05-08,688576.SH,BUY,1200,70.18,25.2648,6617.297799999971,90833.29779999999
2024-05-14,688576.SH,SELL,1200,67.81,24.411599999999996,87964.88619999996,87964.88619999996
2024-07-05,688576.SH,BUY,1400,58.43,24.540599999999998,6138.3455999999715,87940.34559999997
2024-07-25,688576.SH,SELL,1400,58.88,24.729599999999998,88545.61599999997,88545.61599999997
2024-09-18,688576.SH,BUY,1600,51.57,24.7536,6008.862399999969,88520.86239999997
2024-10-30,688576.SH,SELL,1600,60.2,28.895999999999997,102299.96639999998,102299.96639999998
2024-11-13,688576.SH,BUY,1400,66.09,27.757799999999996,9746.208599999969,102272.20859999997
2024-11-26,688576.SH,SELL,1400,62.04,26.0568,96576.15179999996,96576.15179999996
2024-12-06,688576.SH,BUY,1400,64.47,27.077399999999997,6291.074399999969,96549.07439999997
2024-12-24,688576.SH,SELL,1400,62.14,26.098799999999997,93260.97559999996,93260.97559999996
